X,Y,Z
63.236808867765276,106.7268545796925,124.0
75.95103443418941,89.34349658797571,124.0
92.09244141123853,75.08559885993151,124.0
110.91233861447,64.61448926820749,124.0
131.53779773297467,58.4158520814552,124.0
153.01214259601596,56.77720034137401,124.0
174.33932293898553,59.77454006862338,124.0
194.53011446845596,67.26884485529716,124.0
212.64800231639094,78.91250436387729,124.0
227.85261965902123,94.1654476302204,124.0
239.43872667534274,112.3201933191151,124.0
246.8689218738088,132.53466501972582,124.0
246.8689218738088,132.53466501972582,134.0
239.43872667534276,112.32019331911519,134.0
227.85261965902123,94.1654476302204,134.0
212.64800231639094,78.91250436387729,134.0
194.53011446845602,67.26884485529719,134.0
174.33932293898562,59.77454006862341,134.0
153.01214259601596,56.77720034137401,134.0
131.53779773297475,58.41585208145517,134.0
110.91233861447009,64.61448926820746,134.0
92.09244141123853,75.08559885993151,134.0
75.95103443418944,89.34349658797568,134.0
63.236808867765305,106.72685457969246,134.0
63.236808867765276,106.7268545796925,144.0
75.95103443418941,89.34349658797571,144.0
92.09244141123853,75.08559885993151,144.0
110.91233861447,64.61448926820749,144.0
131.53779773297467,58.4158520814552,144.0
153.01214259601596,56.77720034137401,144.0
174.33932293898553,59.77454006862338,144.0
194.53011446845596,67.26884485529716,144.0
212.64800231639094,78.91250436387729,144.0
227.85261965902123,94.1654476302204,144.0
239.43872667534274,112.3201933191151,144.0
246.8689218738088,132.53466501972582,144.0
