Time, Joint 1, Joint 2, Joint 3, Joint 4, Joint 5
0.0, -3.141918, 1.57096, 0.9590584932073033, 0.5289714409863684, 1.4220324037667882
0.005296468734741211, -3.1418524, 1.5709279999999999, 0.959079577646505, 0.5289625101550266, 1.4220451791442896
0.010776281356811523, -3.14179992, 1.5709023999999998, 0.9590936224517105, 0.5289567826549233, 1.4220538679892571
0.01573657989501953, -3.141757936, 1.57088192, 0.9591028327155305, 0.528953423911417, 1.4220598841103198
0.020743131637573242, -3.1417243488, 1.570865536, 0.9591083943366302, 0.528951836183171, 1.4220638696630337
0.025817155838012695, -3.14169747904, 1.5708524287999999, 0.9591112186924293, 0.5289515552403942, 1.422066314324501
0.03163719177246094, -3.141675983232, 1.5708419430399998, 0.9591120161941767, 0.5289522207546095, 1.4220676010351019
0.03725862503051758, -3.1416587865856, 1.5708335544319998, 0.9591113388149711, 0.5289535543659377, 1.4220680286240528
0.042081594467163086, -3.1416450292684797, 1.5708268435455999, 0.9591096134319468, 0.5289553422973395, 1.4220678293984417
0.0467836856842041, -3.1416340234147837, 1.57082147483648, 0.9591071683202299, 0.5289574215465944, 1.422067183126146
0.05202436447143555, -3.1416252187318268, 1.570817179869184, 0.9591042541997282, 0.5289596689290765, 1.4220662281539835
0.057569265365600586, -3.1416181749854615, 1.5708137438953471, 0.9591010609395081, 0.5289619923922164, 1.4220650702411135
0.06256914138793945, -3.141612539988369, 1.5708109951162776, 0.9590977308016133, 0.5289643241392917, 1.4220637895707
0.06784224510192871, -3.141608031990695, 1.5708087960930222, 0.9590943689284488, 0.5289666151934612, 1.422062446309665
0.07355237007141113, -3.141604425592556, 1.5708070368744178, 0.9590910516358191, 0.5289688311074935, 1.4220610850118591
0.07857584953308105, -3.1416015404740447, 1.5708056294995343, 0.9590878329602064, 0.5289709485842009, 1.4220597381004354
0.08357071876525879, -3.1415992323792357, 1.5708045035996274, 0.9590847498181818, 0.5289729528201716, 1.4220584286176048
0.08900260925292969, -3.1415973859033883, 1.5708036028797019, 0.9590818260633862, 0.5289748354233998, 1.4220571723919253
0.0948483943939209, -3.1415959087227106, 1.5708028823037614, 0.9590790756686415, 0.5289765927857691, 1.4220559797428807
0.10012054443359375, -3.1415947269781683, 1.5708023058430092, 0.9590765052145305, 0.5289782248155788, 1.4220548568182272
0.10454416275024414, -3.1415937815825346, 1.5708018446744074, 0.959074115828879, 0.5289797339546481, 1.4220538066401998
0.10999703407287598, -3.141593025266028, 1.5708014757395259, 0.9590719046921113, 0.5289811244199758, 1.422052829921183
0.11587762832641602, -3.141592420212822, 1.5708011805916207, 0.9590698661999403, 0.5289824016222413, 1.4220519256970947
0.12057876586914062, -3.141591936170258, 1.5708009444732964, 0.9590679928560955, 0.5289835717232644, 1.4220510918168636
0.1263737678527832, -3.1415915489362063, 1.5708007555786372, 0.9590662759528354, 0.5289846413023619, 1.422050325318514
0.13115334510803223, -3.141591239148965, 1.5708006044629097, 0.9590647060850622, 0.528985617107784, 1.4220496227160937
0.13623666763305664, -3.141590991319172, 1.5708004835703278, 0.959063273534356, 0.5289865058743772, 1.4220489802166791
0.14224767684936523, -3.1415907930553377, 1.570800386856262, 0.9590619685516798, 0.5289873141925769, 1.4220483938826987
0.1470797061920166, -3.1415906344442703, 1.5708003094850096, 0.9590607815614772, 0.5289880484169768, 1.422047859751649
0.15207958221435547, -3.1415905075554162, 1.5708002475880076, 0.9590597033050999, 0.528988714605221, 1.4220473739227417
0.15745949745178223, -3.141590406044333, 1.570800198070406, 0.9590587249376874, 0.5289893184799511, 1.4220469326180127
0.16296172142028809, -3.1415903248354664, 1.570800158456325, 0.9590578380896005, 0.5289898654081123, 1.422046532223828
0.16851210594177246, -3.141590259868373, 1.57080012676506, 0.9590570349011097, 0.5289903603931722, 1.4220461693174467
0.17305994033813477, -3.1415902078946982, 1.570800101412048, 0.9590563080371358, 0.528990808076791, 1.4220458406822973
0.17857599258422852, -3.1415901663157584, 1.5708000811296385, 0.959055650687339, 0.5289912127472649, 1.4220455433148278
0.18357443809509277, -3.1415901330526066, 1.5708000649037108, 0.9590550565556586, 0.5289915783526742, 1.4220452744251508
0.18857455253601074, -3.1415901064420853, 1.5708000519229686, 0.9590545198424701, 0.5289919085171579, 1.4220450314332145
0.19357538223266602, -3.141590085153668, 1.570800041538375, 0.9590540352217863, 0.5289922065591124, 1.4220448119618272
0.19857454299926758, -3.1415900681229343, 1.5708000332307, 0.9590535978153477, 0.5289924755104114, 1.422044613827561
0.20357656478881836, -3.1415900544983475, 1.5708000265845599, 0.9590532031649944, 0.5289927181359774, 1.4220444350303116
0.20857644081115723, -3.141590043598678, 1.5708000212676478, 0.9590528472043551, 0.528992936953213, 1.4220442737420989
0.2135753631591797, -3.1415900348789423, 1.5708000170141183, 0.9590525262306113, 0.5289931342509446, 1.4220441282955485
0.21857571601867676, -3.141590027903154, 1.5708000136112947, 0.9590522368768831, 0.5289933121076336, 1.4220439971723757
0.22357463836669922, -3.1415900223225233, 1.5708000108890359, 0.9590519760856157, 0.5289934724086978, 1.4220438789921
0.2285757064819336, -3.1415900178580185, 1.5708000087112286, 0.9590517410832196, 0.5289936168628451, 1.422043772501154
0.23357391357421875, -3.1415900142864146, 1.570800006968983, 0.9590515293561229, 0.5289937470173683, 1.4220436765624975
0.23857474327087402, -3.1415900114291317, 1.5708000055751863, 0.9590513386283191, 0.5289938642723871, 1.4220435901457973
0.2435777187347412, -3.1415900091433056, 1.5708000044601491, 0.9590511668404417, 0.5289939698940465, 1.4220435123182193
