v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,alpha_x,alpha_y,alpha_z
-0.1803777259431004,0.41487888390459704,0.19747913276553258,0.45336416874646956,-0.4672191231978985,0.7844587713327669,0.30638354000010537,-0.020935669276907244,-0.3268939004783274,-0.0025438907961523303,0.5603534690805523,-0.027845714148590963
-0.17971888858602147,0.39408655856067787,0.15549127112012487,0.46131787035205296,-0.3868110494736076,0.8027307367629717,0.17285795981225788,-0.2007618866259019,-0.5663967233949813,0.03199224204555969,1.0747771933055241,0.15294533928353235
-0.14203642896482527,0.37729022225651454,0.08439521109162254,0.45796512145621143,-0.2507740893706768,0.8098169838142091,0.3828105384862905,-0.15112005884464005,-0.6891871673124449,-0.09353099843176337,1.3393419606494008,0.042380652161693066
-0.1009086618842124,0.3651691506292268,0.016511404302386557,0.44418907056191426,-0.11696215991585601,0.8061064498938547,0.40922451456458603,-0.10536156084367637,-0.6591246442432549,-0.1940638052634231,1.3099047055535022,-0.06392397838839924
-0.058933532890464484,0.3574916465912372,-0.04885589955344883,0.4211033188829012,0.013128776435530329,0.7920234834659886,0.41059931751405365,-0.06405227200755124,-0.6360111100218886,-0.2821475683868859,1.2662847498269758,-0.16563582604082785
-0.01837889285340893,0.353228282439827,-0.11238588324356473,0.3900134658299329,0.13821601165183955,0.7680022181038554,0.3905815138731773,-0.03471941491022073,-0.6193261191884177,-0.3560905247715548,1.2107871131439165,-0.2626750577619541
0.018944001252341813,0.3507286667415415,-0.17461363620568005,0.35237246654192156,0.2572323022899074,0.7344762412176057,0.3539357132124583,-0.022998076537608672,-0.6073451063984788,-0.414685122370246,1.1456817814513318,-0.3550628329767459
0.05174455882155268,0.34793940658108374,-0.23582826014930675,0.30973112647380074,0.3693181514956526,0.6918820620095909,0.30591695130442953,-0.0322786065115814,-0.5974151898730778,-0.457240075968934,1.0731003234047682,-0.4427851593522463
0.0792552977587916,0.3426408916586955,-0.29600296022598765,0.2636859152030687,0.47380512886860154,0.6406739994573493,0.25166769704300773,-0.06357714704724016,-0.5862871967509473,-0.48359033002718116,0.9949474199952837,-0.5256810809256558
0.10118015518633147,0.33268191351524223,-0.35476139172817606,0.21582670787611596,0.5701922085900804,0.5813474324439614,0.19570386600606593,-0.1156114769147744,-0.570482541839635,-0.4940822672434964,0.9128369700987143,-0.6033616972759204
