v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,alpha_x,alpha_y,alpha_z
-0.18037772594310036,0.41487888390459704,0.1974791327655326,0.45336416874646956,-0.4672191231978985,0.7844587713327668,-0.46733697734397306,-0.6563603146454093,-0.4275229309585797,1.4995227417490162,1.6979143747338281,0.6795154429044097
-0.17971888858602156,0.39408655856067776,0.15549127112012479,0.46131787035205296,-0.38681104947360756,0.8027307367629717,-0.27044394803316074,-0.5800624556827807,-0.5582154350816517,1.4521349601060498,1.9395068789054777,0.5707572860029131
-0.1420364289648253,0.3772902222565145,0.08439521109162253,0.45796512145621143,-0.2507740893706768,0.8098169838142091,-0.0322154493188561,-0.4403528206723341,-0.6776904131180149,1.3633572890481973,2.1245543647223366,0.3477987907227763
-0.1009086618842124,0.36516915062922695,0.016511404302386602,0.44418907056191426,-0.116962159915856,0.8061064498938546,0.05308400032336123,-0.31890895919323164,-0.6570310502793563,1.2783874445481294,2.001239593727508,0.12079662819079375
-0.05893353289046452,0.35749164659123706,-0.048855899553448844,0.4211033188829012,0.013128776435530343,0.7920234834659885,0.14132251712724195,-0.21533613414200017,-0.6538957322192205,1.1820016235033135,1.8507045830135191,-0.10536043892756713
-0.018378892853408893,0.3532282824398269,-0.11238588324356463,0.390013465829933,0.13821601165183955,0.7680022181038553,0.23124423946959263,-0.13628051256841842,-0.6657413924280323,1.0740442440311908,1.6778193951676776,-0.3258782324927268
0.018944001252341802,0.35072866674154146,-0.1746136362056801,0.35237246654192156,0.2572323022899074,0.7344762412176056,0.3210333050938709,-0.08662804070408067,-0.689013760420843,0.9549136572002306,1.4884981574003842,-0.5362980662000415
0.051744558821552766,0.3479394065810837,-0.23582826014930675,0.30973112647380074,0.3693181514956526,0.6918820620095909,0.4084212114495048,-0.06914217035901658,-0.719481052171337,0.8256835220245428,1.2893214640235249,-0.7326987106958539
0.07925529775879162,0.3426408916586955,-0.2960029602259876,0.2636859152030687,0.4738051288686015,0.6406739994573493,0.4908735767239395,-0.08430070577031565,-0.7525948430535626,0.6881656874181145,1.0870918999177872,-0.9118437334250471
0.10118015518633137,0.33268191351524223,-0.3547613917281761,0.21582670787611596,0.5701922085900804,0.5813474324439614,0.5658285488182206,-0.13034201688762678,-0.7838435559905714,0.5448972916510955,0.8883684148788407,-1.0712661177495773
0.1176016975591107,0.3161935210688538,-0.41138220094647904,0.16768701816890463,0.6581180641763896,0.5144668325963074,0.6309513465961543,-0.2035062908342465,-0.8090689158305232,0.3990453574686431,0.6990280641193272,-1.2092899790272753
0.1288642023851944,0.2917666534012182,-0.4648409858858637,0.12069888166776044,0.7373328343037816,0.4406946395879914,0.6843689911589113,-0.29843544655781007,-0.8247230449994339,0.25423446665047617,0.5238995877339065,-1.3249961548481533
0.13545147761183451,0.25858182271582997,-0.5138858352432804,0.07615397580189076,0.807672858306546,0.36081689184794363,0.7248552115083954,-0.40867924489116564,-0.8280523498315278,0.11431470470976304,0.36650326697230234,-1.4181435151320723
0.1378777429970334,0.21648328306981074,-0.5571394104330915,0.035172012053934665,0.8690412230732407,0.2757616756342225,0.751945501637917,-0.5272472728658201,-0.8172028689796198,-0.016904234201135168,0.22891735082408102,-1.4890605569151283
0.13660677368743018,0.16599450668763785,-0.5932176209880881,-0.0013229743679076256,0.9213957767713572,0.1866069821673842,0.7659736147553842,-0.6471474903929003,-0.7912494937249179,-0.13592256724959945,0.11177557602189722,-1.5385222481258571
0.13200905476788022,0.10827615974565798,-0.6208528087987193,-0.03261807103845371,0.964744784862085,0.09457550604800978,0.7680310176289468,-0.7618608059390414,-0.7501578745625397,-0.239793856117576,0.01438543505965334,-1.5676255836793302
0.12435964547498768,0.045031895481149664,-0.6390084743837908,-0.05821849277332147,0.9991489318711813,0.0010152477983903854,0.7598585245002006,-0.8657152949172751,-0.694692568233506,-0.32631743241529165,-0.06505505701547704,-1.5776745618984367
0.11387194329059029,-0.021629016872510187,-0.6469732636284536,-0.07784620630151456,1.0247272105336445,-0.09263361775834063,0.743684091789548,-0.9541401909946228,-0.6262878661375857,-0.39416269812648974,-0.12917202568199782,-1.5700819768204108
0.1007559262099371,-0.08936007065535084,-0.6444242406755609,-0.09143062740401625,1.0416636297254107,-0.18488347332552751,0.7220230508418974,-1.0237958265997613,-0.5468986889139958,-0.44291738517491186,-0.18109486186203708,-1.5462921545128305
0.08528501919383145,-0.1557623098067298,-0.6314531529644396,-0.09909239527150032,1.0502117456954292,-0.27425195600684993,0.6974577818349693,-1.0725891665764513,-0.45884794991313116,-0.4730608925998312,-0.22413181072151633,-1.5077259555916769
0.06785438795547846,-0.21856936652754572,-0.6085539271047192,-0.10112184858030004,1.0506947683383114,-0.3593178985826898,0.6724138455744436,-1.0995943417826604,-0.3646840549418595,-0.48587146769099543,-0.2614698396608398,-1.4557472244746537
0.04901551333172327,-0.27581615833946826,-0.5765743276145653,-0.09795433317773228,1.04350025862562,-0.43877531552631965,0.6489493836569521,-1.1049034251081093,-0.26705809807215725,-0.4832815275985969,-0.2959204551115363,-1.3916484032208989
0.02947694274969959,-0.32597563529188683,-0.5366388453534966,-0.09014465765146706,1.029069932447084,-0.5114804527928349,0.6285741901776526,-1.089434984211637,-0.16862543729661536,-0.46769858636170614,-0.32972617577364666,-1.3166521313748407
0.010068119713451958,-0.36805056739339204,-0.4900528604084496,-0.07834273569886457,1.0078864657048991,-0.576487804647389,0.6121138946107855,-1.0547273236673869,-0.07197146292763028,-0.4418101977483579,-0.36443549395593544,-1.231925156401314
