Time,Theta1,Theta2,Theta3,Theta4,Theta1_dot,Theta2_dot,Theta3_dot,Theta4_dot,Theta1_ddot,Theta2_ddot,Theta3_ddot,Theta4_ddot
0.0,0.0,-12.456153861998175,-87.7075572240441,190.16371108604227,0.0,1.343912500146871,-0.4610194273345769,-0.8828930728122941,0.0,-0.014899988009631215,0.04694730943697323,-0.0320473214287631
0.1,0.0,-12.321762611983488,-87.75365916677755,190.07542177876104,0.0,1.342422501345908,-0.4563246963908796,-0.8860978049551704,0.0,-0.014970836763694706,0.04694005945111712,-0.03196922268671187
0.2,0.0,-12.187520361848897,-87.79929163641664,189.98681199826552,0.0,1.3409254176695384,-0.45163069044576787,-0.8892947272238416,0.0,-0.015042167694900854,0.04693303142175864,-0.03189086372401562
0.30000000000000004,0.0,-12.053427820081943,-87.84445470546122,189.89788252554314,0.0,1.3394212009000483,-0.446937387303592,-0.8924838135962432,0.0,-0.015113976067482326,0.04692622069057961,-0.031812244623097286
0.4,0.0,-11.919485699991938,-87.88914844419158,189.80863414418351,0.0,1.3379098032933001,-0.44224476523453404,-0.8956650380585529,0.0,-0.015186257147092874,0.04691962268026373,-0.03173336553743411
0.5,0.0,-11.785694719662608,-87.93337292071503,189.71906764037766,0.0,1.3363911775785908,-0.43755280296650767,-0.8988383746122963,0.0,-0.015259006185885937,0.04691323287460136,-0.031654226685873255
0.6000000000000001,0.0,-11.652055601904749,-87.97712820101168,189.62918380291643,0.0,1.3348652769600022,-0.43286147967904753,-0.9020037972808836,0.0,-0.0153322184267779,0.04690704678864677,-0.031574828364000496
0.7000000000000001,0.0,-11.518569074208749,-88.02041434897959,189.53898342318834,0.0,1.3333320551173244,-0.42817077500018286,-0.9051612801172837,0.0,-0.01540588909065832,0.046901059992876526,-0.03149517089866549
0.8,0.0,-11.385235868697016,-88.0632314264796,189.4484672951766,0.0,1.3317914662082586,-0.4234806690008952,-0.9083107972071502,0.0,-0.015480013398416759,0.04689526813166367,-0.03141525473893125
0.9,0.0,-11.25205672207619,-88.1055794933797,189.3576362154559,0.0,1.330243464868417,-0.41879114218772884,-0.9114523226810434,0.0,-0.015554586554600291,0.046889666869276425,-0.03133508030828125
1.0,0.0,-11.119032375589349,-88.14745860759847,189.2664909831878,0.0,1.328688006212957,-0.4141021755008012,-0.9145858307118715,0.0,-0.015629603750255683,0.04688425194672163,-0.03125464820072921
1.1,0.0,-10.986163574968053,-88.18886882514855,189.1750324001166,0.0,1.3271250458379313,-0.40941375030612903,-0.9177112955319444,0.0,-0.01570506017216644,0.046879019149059786,-0.031173958973340632
1.2000000000000002,0.0,-10.85345107038426,-88.22981020017916,189.0832612705634,0.0,1.3255545398207147,-0.40472584839122305,-0.9208286914292785,0.0,-0.015780950984378705,0.0468739642982996,-0.031093013316763063
1.3,0.0,-10.720895616402188,-88.27028278501828,188.99117840142048,0.0,1.3239764447222768,-0.4000384519613931,-0.9239379927609548,0.0,-0.015857271349517532,0.04686908330171491,-0.03101181195006575
1.4000000000000001,0.0,-10.58849797192996,-88.31028663021442,188.8987846021444,0.0,1.322390717587325,-0.3953515436312216,-0.9270391739559614,0.0,-0.015934016415286578,0.046864372072263905,-0.03093035566053004
1.5,0.0,-10.456258900171228,-88.34982178457754,188.8060806847488,0.0,1.3207973159457964,-0.3906651064239952,-0.9301322095220144,0.0,-0.01601118131588919,0.04685982661101207,-0.030848645292280708
1.6,0.0,-10.324179168576649,-88.38888829521994,188.7130674637966,0.0,1.3191961978142075,-0.385979123762894,-0.9332170740512424,0.0,-0.01608876118055491,0.04685544295170985,-0.03076668177186548
1.7000000000000002,0.0,-10.192259548795228,-88.42748620759623,188.61974575639147,0.0,1.317587321696152,-0.381293579467723,-0.936293742228429,0.0,-0.016166751116486466,0.04685121717926677,-0.030684466062780302
1.8,0.0,-10.060500816625613,-88.465615565543,188.52611638216862,0.0,1.3159706465845034,-0.37660845774979634,-0.939362188834707,0.0,-0.01624514623443929,0.04684714543827795,-0.030601999205259744
1.9000000000000001,0.0,-9.928903751967162,-88.50327641131798,188.43218016328515,0.0,1.3143461319610594,-0.37192374320596855,-0.942422388755233,0.0,-0.016323941625984162,0.046843223910286724,-0.030519282282170934
2.0,0.0,-9.797469138771056,-88.54046878563858,188.33793792440963,0.0,1.312713737798461,-0.3672394208149399,-0.9454743169834501,0.0,-0.01640313236848101,0.04683944883225877,-0.0304363164644883
2.1,0.0,-9.66619776499121,-88.57719272772007,188.24339049271128,0.0,1.311073424561613,-0.362555475931714,-0.9485179486298989,0.0,-0.01648271354142139,0.046835816502266425,-0.030353102960134493
2.2,0.0,-9.535090422535049,-88.61344827531325,188.1485386978483,0.0,1.3094251532074708,-0.35787189428148736,-0.9515532589259124,0.0,-0.016562680195875146,0.0468323232325929,-0.030269643039559924
2.3000000000000003,0.0,-9.404147907214302,-88.6492354647414,188.0533833719557,0.0,1.3077688851878833,-0.35318866195822807,-0.9545802232298684,0.0,-0.016643027390728093,0.04682896543783954,-0.030185938044269278
2.4000000000000004,0.0,-9.273371018695514,-88.68455433093722,187.95792534963272,0.0,1.3061045824488104,-0.3485057654144441,-0.9575988170342953,0.0,-0.016723750170655194,0.046825739535449884,-0.030101989364084147
2.5,0.0,-9.142760560450633,-88.71940490747866,187.8621654679293,0.0,1.304432207431745,-0.3438231914608991,-0.9606090159707037,0.0,-0.016804843558304583,0.04682264201392172,-0.030017798457038225
